==23589== NVPROF is profiling process 23589, command: ./bin/fargoGPU in/hd100.par
==23589== Profiling application: ./bin/fargoGPU in/hd100.par
==23589== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
320.05ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
320.15ms  97.854us                    -               -         -         -         -  8.0078MB  79.916GB/s  Quadro M4000 (0         1         7  [CUDA memset]
320.25ms  97.759us                    -               -         -         -         -  8.0000MB  79.916GB/s  Quadro M4000 (0         1         7  [CUDA memset]
320.35ms  97.918us                    -               -         -         -         -  8.0078MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
320.45ms  97.759us                    -               -         -         -         -  8.0000MB  79.916GB/s  Quadro M4000 (0         1         7  [CUDA memset]
320.58ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.59ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.61ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.62ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.63ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.64ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.65ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.66ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.67ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.68ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.70ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
320.98ms  2.7403ms                    -               -         -         -         -  8.0078MB  2.8537GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
323.73ms  1.7600us                    -               -         -         -         -  4.0039KB  2.1696GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
323.75ms  1.7920us                    -               -         -         -         -  4.0039KB  2.1308GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
328.75ms  99.806us                    -               -         -         -         -  8.0078MB  78.353GB/s  Quadro M4000 (0         1         7  [CUDA memset]
328.84ms     865ns                    -               -         -         -         -  8.0000KB  8.8201GB/s  Quadro M4000 (0         1         7  [CUDA memset]
328.86ms  97.919us                    -               -         -         -         -  8.0078MB  79.863GB/s  Quadro M4000 (0         1         7  [CUDA memset]
328.87ms     491ns                    -               -         -         -         -  4.0000KB  7.7692GB/s  Quadro M4000 (0         1         7  [CUDA memset]
328.87ms     410ns                    -               -         -         -         -  4.0000KB  9.3041GB/s  Quadro M4000 (0         1         7  [CUDA memset]
328.87ms     417ns                    -               -         -         -         -  4.0000KB  9.1480GB/s  Quadro M4000 (0         1         7  [CUDA memset]
328.96ms  98.014us                    -               -         -         -         -  8.0078MB  79.786GB/s  Quadro M4000 (0         1         7  [CUDA memset]
329.06ms  97.887us                    -               -         -         -         -  8.0078MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
329.16ms  97.918us                    -               -         -         -         -  8.0078MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
329.26ms  97.855us                    -               -         -         -         -  8.0078MB  79.915GB/s  Quadro M4000 (0         1         7  [CUDA memset]
329.36ms  98.142us                    -               -         -         -         -  8.0078MB  79.682GB/s  Quadro M4000 (0         1         7  [CUDA memset]
