==17536== NVPROF is profiling process 17536, command: ./bin/fargoGPU in/template.par
==17536== Profiling application: ./bin/fargoGPU in/template.par
==17536== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
313.36ms  100.96us                    -               -         -         -         -  8.0000MB  77.382GB/s  Quadro M4000 (0         1         7  [CUDA memset]
313.47ms  97.823us                    -               -         -         -         -  8.0000MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.28ms  97.919us                    -               -         -         -         -  7.9922MB  79.707GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.39ms  97.727us                    -               -         -         -         -  7.9922MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.40ms     686ns                    -               -         -         -         -  4.0000KB  5.5608GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.41ms     487ns                    -               -         -         -         -  4.0000KB  7.8331GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.42ms     390ns                    -               -         -         -         -  4.0000KB  9.7813GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.42ms     577ns                    -               -         -         -         -  4.0000KB  6.6113GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.43ms     546ns                    -               -         -         -         -  4.0000KB  6.9866GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.43ms     398ns                    -               -         -         -         -  4.0000KB  9.5847GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.44ms     388ns                    -               -         -         -         -  4.0000KB  9.8317GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.44ms     396ns                    -               -         -         -         -  4.0000KB  9.6331GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.44ms     394ns                    -               -         -         -         -  4.0000KB  9.6820GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.45ms     397ns                    -               -         -         -         -  4.0000KB  9.6088GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.45ms     439ns                    -               -         -         -         -  4.0000KB  8.6895GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.48ms     540ns                    -               -         -         -         -  4.0000KB  7.0643GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.49ms  97.760us                    -               -         -         -         -  7.9922MB  79.837GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.49ms     439ns                    -               -         -         -         -  4.0000KB  8.6895GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.49ms     404ns                    -               -         -         -         -  4.0000KB  9.4423GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.50ms     471ns                    -               -         -         -         -  4.0000KB  8.0991GB/s  Quadro M4000 (0         1         7  [CUDA memset]
315.59ms  97.727us                    -               -         -         -         -  7.9922MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.00ms     690ns                    -               -         -         -         -  8.0000KB  11.057GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.00ms     425ns                    -               -         -         -         -  8.0000KB  17.952GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.01ms     549ns                    -               -         -         -         -  8.0000KB  13.897GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.01ms     395ns                    -               -         -         -         -  8.0000KB  19.315GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.04ms     431ns                    -               -         -         -         -  8.0000KB  17.702GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.04ms     391ns                    -               -         -         -         -  8.0000KB  19.513GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.05ms     393ns                    -               -         -         -         -  8.0000KB  19.413GB/s  Quadro M4000 (0         1         7  [CUDA memset]
316.05ms     382ns                    -               -         -         -         -  8.0000KB  19.972GB/s  Quadro M4000 (0         1         7  [CUDA memset]
317.00ms  97.984us                    -               -         -         -         -  8.0000MB  79.732GB/s  Quadro M4000 (0         1         7  [CUDA memset]
317.01ms     487ns                    -               -         -         -         -  3.9961KB  7.8254GB/s  Quadro M4000 (0         1         7  [CUDA memset]
317.02ms     467ns                    -               -         -         -         -  3.9961KB  8.1605GB/s  Quadro M4000 (0         1         7  [CUDA memset]
317.10ms  97.759us                    -               -         -         -         -  8.0000MB  79.916GB/s  Quadro M4000 (0         1         7  [CUDA memset]
318.86ms  98.015us                    -               -         -         -         -  8.0000MB  79.707GB/s  Quadro M4000 (0         1         7  [CUDA memset]
318.96ms  97.792us                    -               -         -         -         -  8.0000MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
319.06ms  97.887us                    -               -         -         -         -  8.0000MB  79.811GB/s  Quadro M4000 (0         1         7  [CUDA memset]
319.16ms  97.791us                    -               -         -         -         -  8.0000MB  79.890GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.56ms  98.112us                    -               -         -         -         -  8.0000MB  79.628GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.56ms     580ns                    -               -         -         -         -  3.9961KB  6.5706GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.57ms     464ns                    -               -         -         -         -  3.9961KB  8.2133GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.66ms     549ns                    -               -         -         -         -        4B  6.9484MB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.67ms  97.823us                    -               -         -         -         -  8.0000MB  79.864GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.77ms  97.791us                    -               -         -         -         -  8.0000MB  79.890GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.87ms  97.792us                    -               -         -         -         -  8.0000MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
323.97ms  97.791us                    -               -         -         -         -  8.0000MB  79.890GB/s  Quadro M4000 (0         1         7  [CUDA memset]
324.08ms  97.727us                    -               -         -         -         -  8.0000MB  79.942GB/s  Quadro M4000 (0         1         7  [CUDA memset]
324.18ms  97.792us                    -               -         -         -         -  7.9922MB  79.811GB/s  Quadro M4000 (0         1         7  [CUDA memset]
324.28ms  97.759us                    -               -         -         -         -  8.0000MB  79.916GB/s  Quadro M4000 (0         1         7  [CUDA memset]
324.38ms  97.696us                    -               -         -         -         -  7.9922MB  79.889GB/s  Quadro M4000 (0         1         7  [CUDA memset]
324.50ms  1.7590us                    -               -         -         -         -  4.0000KB  2.1687GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.51ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.52ms  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.53ms  1.9840us                    -               -         -         -         -  4.0000KB  1.9227GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.55ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.56ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.57ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.58ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.59ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.60ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.61ms  1.7280us                    -               -         -         -         -  4.0000KB  2.2076GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
324.90ms  2.6811ms                    -               -         -         -         -  8.0000MB  2.9139GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
327.60ms  1.7600us                    -               -         -         -         -  4.0000KB  2.1674GB/s  Quadro M4000 (0         1         7  [CUDA memcpy HtoD]
332.49ms  99.647us                    -               -         -         -         -  8.0000MB  78.402GB/s  Quadro M4000 (0         1         7  [CUDA memset]
